stream,study_hours,attendance,sleep_hours,internet_usage,mathematics,physics,chemistry,biology,computer_science,english,previous_score,exam_score,strongest_subject,recommended_career,performance_level,attendance_status
Biology,6.6,83,6.9,2.6,83,71,73,71,0,87,77.0,81.68,English,Content Writer,Good,Eligible
Computer Science,2.2,56,5.6,5.7,49,43,40,0,30,44,41.2,29.59,Mathematics,Actuary,Needs Improvement,Shortage
Computer Science,5.1,77,7.8,2.4,85,87,74,0,77,66,77.8,83.55,Physics,Mechanical Engineer,Good,Eligible
Biology,3.1,55,5.5,5.7,30,33,42,49,0,40,38.8,27.61,Biology,Microbiologist,Needs Improvement,Shortage
Biology,6.3,89,7.9,2.5,71,72,82,84,0,82,78.2,85.8,Biology,Biomedical Researcher,Excellent,Eligible
Computer Science,3.2,73,5.8,4.1,60,60,58,0,60,75,62.6,58.37,English,Content Writer,Average,Shortage
Biology,5.5,86,6.9,3.2,73,73,79,79,0,83,77.4,78.14,English,Lawyer,Good,Eligible
Biology,4.9,82,5.9,4.5,62,71,50,72,0,56,62.2,61.41,Biology,Biotechnologist,Average,Eligible
Biology,0.7,30,5.4,8.9,31,24,40,19,0,49,32.6,16.91,English,Content Writer,Needs Improvement,Shortage
Computer Science,4.9,62,6.2,4.8,58,50,72,0,52,62,58.8,55.82,Chemistry,Forensic Scientist,Average,Shortage
Biology,3.4,62,5.6,6.8,33,37,53,60,0,50,46.6,41.01,Biology,Biomedical Researcher,Needs Improvement,Shortage
Biology,3.4,67,5.8,5.8,75,61,54,67,0,78,67.0,62.56,English,Teacher,Average,Shortage
Computer Science,4.3,76,5.5,5.8,75,71,69,0,64,72,70.2,74.69,Mathematics,Financial Analyst,Good,Eligible
Biology,9.4,92,7.6,2.2,99,85,88,91,0,84,89.4,100.0,Mathematics,Statistician,Excellent,Eligible
Computer Science,2.0,54,5.4,7.1,57,54,34,0,55,44,48.8,39.83,Mathematics,Actuary,Needs Improvement,Shortage
Computer Science,7.0,89,6.8,3.6,83,75,72,0,91,75,79.2,85.72,Computer Science,Cybersecurity Analyst,Excellent,Eligible
Biology,5.7,83,7.2,3.1,79,77,79,78,0,86,79.8,81.87,English,Lawyer,Good,Eligible
Computer Science,8.3,95,8.2,2.0,100,96,83,0,93,93,93.0,100.0,Mathematics,Statistician,Excellent,Eligible
Biology,6.0,83,7.0,3.5,78,76,79,87,0,71,78.2,82.22,Biology,Microbiologist,Good,Eligible
Computer Science,2.8,70,5.9,5.9,37,42,44,0,37,64,44.8,37.74,English,Lawyer,Needs Improvement,Shortage
Biology,3.1,62,7.5,5.0,57,53,71,66,0,69,63.2,57.25,Chemistry,Materials Scientist,Average,Shortage
Computer Science,6.0,89,7.9,2.5,74,74,70,0,74,74,73.2,80.23,Mathematics,Data Scientist,Good,Eligible
Biology,6.0,81,7.6,3.0,75,85,77,88,0,88,82.6,85.13,Biology,Biomedical Researcher,Excellent,Eligible
Biology,8.8,100,7.9,0.8,97,97,83,99,0,89,93.0,100.0,Biology,Microbiologist,Excellent,Eligible
Computer Science,6.1,78,6.8,2.4,89,85,78,0,76,73,80.2,86.47,Mathematics,Statistician,Excellent,Eligible
Biology,2.5,51,6.1,7.8,32,40,42,49,0,46,41.8,32.89,Biology,Biotechnologist,Needs Improvement,Shortage
Biology,3.4,63,6.2,3.5,50,71,67,71,0,50,61.8,57.77,Physics,Research Scientist,Average,Shortage
Computer Science,6.3,86,7.4,3.1,74,84,77,0,84,78,79.4,85.54,Physics,Aerospace Engineer,Excellent,Eligible
Biology,4.9,76,6.9,4.5,67,74,52,57,0,76,65.2,68.84,English,Content Writer,Average,Eligible
Computer Science,6.0,87,7.8,3.1,84,74,78,0,89,78,80.6,89.07,Computer Science,AI Engineer,Excellent,Eligible
Biology,4.9,64,6.7,3.2,50,75,67,59,0,56,61.4,57.53,Physics,Mechanical Engineer,Average,Shortage
Biology,3.3,66,6.6,4.9,68,67,54,60,0,66,63.0,57.72,Mathematics,Statistician,Average,Shortage
Biology,4.6,63,6.0,5.2,61,56,60,52,0,67,59.2,53.59,English,Lawyer,Average,Shortage
Computer Science,9.8,93,7.4,1.3,92,88,86,0,96,84,89.2,100.0,Computer Science,Cybersecurity Analyst,Excellent,Eligible
Computer Science,7.9,98,7.7,0.8,95,91,86,0,99,88,91.8,100.0,Computer Science,Cybersecurity Analyst,Excellent,Eligible
Computer Science,8.6,89,7.3,1.1,100,96,96,0,91,86,93.8,100.0,Mathematics,Data Scientist,Excellent,Eligible
Computer Science,3.8,63,6.4,5.1,62,65,55,0,66,78,65.2,61.49,English,Journalist,Average,Shortage
Biology,2.4,49,4.8,5.9,59,51,44,42,0,64,52.0,40.78,English,Content Writer,Needs Improvement,Shortage
Biology,0.7,42,4.0,7.5,18,29,32,32,0,46,31.4,17.49,English,Content Writer,Needs Improvement,Shortage
Biology,6.6,76,7.4,2.6,80,71,83,84,0,69,77.4,80.32,Biology,Doctor,Good,Eligible
Biology,9.5,95,7.8,1.0,90,94,88,95,0,82,89.8,100.0,Biology,Biotechnologist,Excellent,Eligible
Computer Science,1.6,45,5.9,6.1,46,51,36,0,41,41,43.0,28.86,Physics,Electrical Engineer,Needs Improvement,Shortage
Computer Science,3.8,73,6.5,4.5,75,69,48,0,58,72,64.4,61.82,Mathematics,Actuary,Average,Shortage
Computer Science,3.2,74,7.4,3.4,61,59,48,0,60,67,59.0,56.51,English,Lawyer,Average,Shortage
Biology,2.4,68,6.0,6.0,54,53,43,34,0,61,49.0,42.92,English,Lawyer,Needs Improvement,Shortage
Biology,3.2,60,6.6,5.4,57,74,51,64,0,77,64.6,59.42,English,Journalist,Average,Shortage
Biology,7.1,91,7.3,2.0,99,96,98,86,0,88,93.4,100.0,Mathematics,Data Scientist,Excellent,Eligible
Computer Science,5.1,89,6.9,2.0,81,75,71,0,83,78,77.6,83.12,Computer Science,AI Engineer,Good,Eligible
Computer Science,6.6,90,6.8,3.3,77,73,90,0,81,85,81.2,88.3,Chemistry,Materials Scientist,Excellent,Eligible
Biology,1.9,53,6.3,6.1,54,51,45,33,0,44,45.4,29.91,Mathematics,Actuary,Needs Improvement,Shortage
Computer Science,8.7,96,8.1,0.5,86,94,86,0,91,87,88.8,100.0,Physics,Aerospace Engineer,Excellent,Eligible
Computer Science,5.8,90,7.1,2.2,78,85,71,0,91,68,78.6,83.23,Computer Science,AI Engineer,Good,Eligible
Computer Science,5.0,84,7.4,2.6,86,77,77,0,73,71,76.8,81.92,Mathematics,Actuary,Good,Eligible
Biology,7.9,95,7.1,2.1,95,93,88,98,0,88,92.4,100.0,Biology,Microbiologist,Excellent,Eligible
Biology,3.0,66,6.9,5.6,61,52,48,71,0,72,60.8,56.63,English,Content Writer,Average,Shortage
Computer Science,8.0,96,7.8,2.1,87,86,99,0,92,90,90.8,100.0,Chemistry,Chemical Engineer,Excellent,Eligible
Biology,2.4,52,4.8,7.3,49,46,51,46,0,56,49.6,35.01,English,Journalist,Needs Improvement,Shortage
Computer Science,4.0,66,6.7,5.5,67,51,54,0,56,65,58.6,53.9,Mathematics,Financial Analyst,Average,Shortage
Computer Science,2.0,66,5.6,7.6,41,39,32,0,42,42,39.2,34.5,Computer Science,Software Engineer,Needs Improvement,Shortage
Biology,6.8,84,7.0,3.2,75,88,78,74,0,66,76.2,81.87,Physics,Aerospace Engineer,Good,Eligible
Computer Science,4.0,74,5.9,3.4,55,51,58,0,74,64,60.4,57.64,Computer Science,Machine Learning Engineer,Average,Shortage
Biology,6.4,77,7.6,3.2,75,74,90,73,0,84,79.2,82.99,Chemistry,Pharmacist,Good,Eligible
Biology,9.7,92,7.1,1.0,86,95,96,98,0,93,93.6,100.0,Biology,Doctor,Excellent,Eligible
Biology,9.5,98,7.6,1.0,99,96,95,93,0,94,95.4,100.0,Mathematics,Actuary,Excellent,Eligible
Biology,5.0,77,7.2,3.3,56,52,64,57,0,61,58.0,61.92,Chemistry,Forensic Scientist,Average,Eligible
Biology,3.0,76,6.2,5.7,51,63,68,56,0,69,61.4,60.62,English,Lawyer,Average,Eligible
Biology,0.7,37,4.7,9.8,20,31,43,17,0,47,31.6,10.82,English,Content Writer,Needs Improvement,Shortage
Computer Science,4.0,63,5.6,5.3,57,57,49,0,50,63,55.2,50.68,English,Teacher,Average,Shortage
Biology,4.5,80,6.8,4.2,75,56,73,51,0,57,62.4,65.83,Mathematics,Actuary,Average,Eligible
Computer Science,6.8,82,7.5,2.5,81,77,74,0,70,72,74.8,79.13,Mathematics,Statistician,Good,Eligible
Computer Science,8.8,94,7.8,0.9,88,99,97,0,97,93,94.8,100.0,Physics,Mechanical Engineer,Excellent,Eligible
Biology,3.3,72,6.1,5.8,57,64,67,72,0,50,62.0,58.21,Biology,Microbiologist,Average,Shortage
Biology,6.2,79,7.8,3.6,79,82,78,78,0,79,79.2,83.79,Physics,Aerospace Engineer,Good,Eligible
Computer Science,4.7,80,6.0,5.4,59,50,48,0,71,73,60.2,61.07,English,Lawyer,Average,Eligible
Biology,4.5,73,7.2,5.6,54,65,55,61,0,58,58.6,57.83,Physics,Mechanical Engineer,Average,Shortage
Computer Science,6.2,90,7.8,3.1,76,83,81,0,85,73,79.6,88.22,Computer Science,Cybersecurity Analyst,Excellent,Eligible
Computer Science,6.8,75,7.2,3.7,73,81,69,0,86,65,74.8,80.18,Computer Science,Software Engineer,Good,Eligible
Computer Science,1.4,39,4.2,7.3,34,20,34,0,30,48,33.2,15.14,English,Lawyer,Needs Improvement,Shortage
Biology,7.1,90,8.2,1.4,87,85,94,92,0,94,90.4,98.33,Chemistry,Pharmacist,Excellent,Eligible
Biology,0.7,49,5.3,8.1,34,36,25,38,0,48,36.2,18.02,English,Journalist,Needs Improvement,Shortage
Computer Science,4.7,72,6.4,5.8,71,55,64,0,52,70,62.4,57.81,Mathematics,Financial Analyst,Average,Shortage
Biology,2.8,43,5.5,6.9,37,46,44,36,0,41,40.8,28.25,Physics,Mechanical Engineer,Needs Improvement,Shortage
Biology,9.2,90,8.0,2.2,92,99,83,94,0,85,90.6,97.1,Physics,Research Scientist,Excellent,Eligible
Biology,1.9,69,6.5,7.2,41,38,32,55,0,62,45.6,38.37,English,Teacher,Needs Improvement,Shortage
Biology,5.5,83,7.7,3.8,90,72,72,89,0,82,81.0,85.34,Mathematics,Data Scientist,Excellent,Eligible
Biology,6.4,80,7.5,2.9,70,74,69,90,0,76,75.8,79.26,Biology,Biotechnologist,Good,Eligible
Biology,9.5,99,7.8,1.0,94,86,86,97,0,80,88.6,100.0,Biology,Doctor,Excellent,Eligible
Computer Science,6.2,76,6.5,2.0,84,81,76,0,85,84,82.0,89.69,Computer Science,Cybersecurity Analyst,Excellent,Eligible
Biology,2.0,45,4.9,8.4,40,30,26,33,0,49,35.6,23.61,English,Lawyer,Needs Improvement,Shortage
Computer Science,3.6,76,7.0,3.2,61,61,52,0,76,76,65.2,66.17,Computer Science,AI Engineer,Average,Eligible
Computer Science,0.9,44,3.6,9.9,31,19,17,0,26,45,27.6,12.17,English,Lawyer,Needs Improvement,Shortage
Biology,1.1,39,4.9,9.6,31,28,36,15,0,26,27.2,10.3,Chemistry,Forensic Scientist,Needs Improvement,Shortage
Computer Science,6.3,77,7.8,3.9,82,73,82,0,82,69,77.6,82.8,Mathematics,Financial Analyst,Good,Eligible
Biology,2.2,50,6.3,6.4,45,55,31,34,0,55,44.0,32.33,Physics,Electrical Engineer,Needs Improvement,Shortage
Biology,2.7,51,5.9,7.2,44,47,56,57,0,57,52.2,39.29,Biology,Biotechnologist,Needs Improvement,Shortage
Biology,6.3,78,7.3,3.7,84,82,83,72,0,65,77.2,81.46,Mathematics,Financial Analyst,Good,Eligible
Computer Science,1.9,60,4.5,5.3,52,43,47,0,58,65,53.0,39.88,English,Journalist,Needs Improvement,Shortage
Computer Science,1.0,39,4.1,8.5,26,22,29,0,21,26,24.8,1.38,Chemistry,Pharmacist,Needs Improvement,Shortage
Biology,3.2,68,5.5,3.5,61,58,73,73,0,61,65.2,58.09,Chemistry,Materials Scientist,Average,Shortage
Biology,3.3,62,5.6,3.2,64,50,65,53,0,63,59.0,53.2,Chemistry,Chemical Engineer,Average,Shortage
Computer Science,4.8,68,6.0,3.0,58,59,57,0,58,55,57.4,54.28,Physics,Mechanical Engineer,Average,Shortage
Biology,2.3,49,5.9,5.9,56,56,42,35,0,64,50.6,43.24,English,Journalist,Needs Improvement,Shortage
Biology,3.4,53,5.9,7.8,34,45,45,51,0,51,45.2,36.57,Biology,Doctor,Needs Improvement,Shortage
Biology,7.9,100,8.0,0.6,94,86,92,86,0,83,88.2,98.22,Mathematics,Statistician,Excellent,Eligible
Computer Science,6.2,88,6.8,2.2,89,75,80,0,75,67,77.2,82.02,Mathematics,Actuary,Good,Eligible
Biology,6.8,79,6.9,3.9,71,75,90,73,0,67,75.2,80.09,Chemistry,Chemical Engineer,Good,Eligible
Computer Science,7.2,90,8.3,2.4,86,86,96,0,90,89,89.4,96.57,Chemistry,Materials Scientist,Excellent,Eligible
Computer Science,9.3,88,7.3,0.9,98,99,92,0,95,95,95.8,100.0,Physics,Mechanical Engineer,Excellent,Eligible
Computer Science,4.7,67,7.4,5.7,60,66,63,0,72,78,67.8,66.35,English,Content Writer,Average,Shortage
Biology,7.2,97,7.5,2.2,91,100,99,97,0,82,93.8,100.0,Physics,Research Scientist,Excellent,Eligible
Biology,3.8,82,5.7,3.3,72,69,69,58,0,62,66.0,66.41,Mathematics,Actuary,Average,Eligible
Biology,4.0,67,5.7,3.7,74,64,49,71,0,58,63.2,60.52,Mathematics,Financial Analyst,Average,Shortage
Biology,2.4,63,6.3,7.0,49,31,58,40,0,50,45.6,40.23,Chemistry,Forensic Scientist,Needs Improvement,Shortage
Biology,5.1,88,6.8,2.4,88,71,87,83,0,70,79.8,84.76,Mathematics,Statistician,Good,Eligible
Computer Science,4.6,73,5.7,5.2,50,69,53,0,63,62,59.4,59.18,Physics,Research Scientist,Average,Shortage
Computer Science,2.4,57,5.2,7.9,31,34,51,0,40,51,41.4,31.0,Chemistry,Forensic Scientist,Needs Improvement,Shortage
Computer Science,5.1,82,7.7,4.0,71,83,77,0,89,66,77.2,78.79,Computer Science,Machine Learning Engineer,Good,Eligible
Biology,3.4,68,7.1,3.4,65,62,73,73,0,53,65.2,57.87,Chemistry,Pharmacist,Average,Shortage
Computer Science,5.0,81,7.0,4.1,59,74,60,0,51,78,64.4,69.28,English,Journalist,Average,Eligible
Computer Science,3.3,62,6.3,3.8,51,53,75,0,55,76,62.0,59.42,English,Journalist,Average,Shortage
Computer Science,5.8,88,7.3,3.3,85,74,74,0,81,82,79.2,83.71,Mathematics,Financial Analyst,Good,Eligible
Computer Science,9.2,93,7.2,2.3,93,85,88,0,86,92,88.8,99.57,Mathematics,Statistician,Excellent,Eligible
Biology,4.1,74,7.0,5.8,51,51,74,51,0,69,59.2,59.78,Chemistry,Forensic Scientist,Average,Shortage
Computer Science,9.4,88,7.4,1.9,95,85,97,0,91,95,92.6,100.0,Chemistry,Materials Scientist,Excellent,Eligible
Computer Science,6.9,85,7.0,3.0,76,83,90,0,82,76,81.4,90.62,Chemistry,Forensic Scientist,Excellent,Eligible
Computer Science,6.0,89,7.8,3.1,73,82,86,0,71,88,80.0,86.02,English,Content Writer,Excellent,Eligible
Biology,2.2,59,5.3,6.8,32,60,34,52,0,55,46.6,34.57,Physics,Research Scientist,Needs Improvement,Shortage
Computer Science,6.8,76,7.8,3.3,74,86,90,0,79,69,79.6,83.28,Chemistry,Chemical Engineer,Good,Eligible
Computer Science,2.0,52,5.4,6.7,51,49,50,0,52,52,50.8,44.19,Computer Science,Software Engineer,Needs Improvement,Shortage
Computer Science,8.7,99,7.4,1.8,95,87,94,0,88,90,90.8,100.0,Mathematics,Financial Analyst,Excellent,Eligible
Biology,5.2,76,7.9,2.9,87,78,90,74,0,77,81.2,85.13,Chemistry,Pharmacist,Excellent,Eligible
Biology,7.0,90,8.4,2.3,99,98,85,99,0,95,95.2,97.99,Mathematics,Data Scientist,Excellent,Eligible
Biology,3.0,50,6.4,7.3,39,44,55,31,0,59,45.6,34.71,English,Journalist,Needs Improvement,Shortage
Biology,7.0,75,6.9,2.7,72,88,75,72,0,74,76.2,81.56,Physics,Mechanical Engineer,Good,Eligible
Biology,6.3,82,7.6,2.2,74,76,79,80,0,70,75.8,79.77,Biology,Biotechnologist,Good,Eligible
Computer Science,8.1,100,7.2,1.6,94,85,86,0,95,94,90.8,100.0,Computer Science,AI Engineer,Excellent,Eligible
Biology,3.9,78,6.4,3.2,50,53,53,59,0,57,54.4,53.43,Biology,Microbiologist,Average,Eligible
Biology,8.6,97,8.2,0.9,93,99,82,93,0,84,90.2,100.0,Physics,Mechanical Engineer,Excellent,Eligible
Computer Science,9.4,95,8.0,1.0,95,98,89,0,91,81,90.8,100.0,Physics,Mechanical Engineer,Excellent,Eligible
Computer Science,5.0,75,7.3,3.4,89,78,83,0,88,88,85.2,87.23,Mathematics,Statistician,Excellent,Eligible
Biology,6.0,81,7.9,3.7,81,76,70,77,0,78,76.4,84.29,Mathematics,Data Scientist,Good,Eligible
Biology,4.9,76,6.9,3.9,63,58,51,62,0,54,57.6,58.86,Mathematics,Statistician,Average,Eligible
Computer Science,4.7,63,5.6,5.2,56,54,70,0,70,62,62.4,58.75,Chemistry,Chemical Engineer,Average,Shortage
Computer Science,2.3,55,4.9,6.5,51,51,43,0,30,52,45.4,33.23,English,Lawyer,Needs Improvement,Shortage
Biology,2.8,69,6.0,6.0,33,33,47,52,0,45,42.0,37.9,Biology,Doctor,Needs Improvement,Shortage
Biology,5.9,86,7.6,3.8,79,81,82,82,0,84,81.6,84.38,English,Teacher,Good,Eligible
Computer Science,4.3,70,6.0,4.0,60,55,67,0,71,57,62.0,59.66,Computer Science,AI Engineer,Average,Shortage
Computer Science,8.6,91,7.2,2.4,98,90,87,0,98,88,92.2,100.0,Mathematics,Data Scientist,Excellent,Eligible
Computer Science,5.5,78,6.8,3.3,87,88,70,0,76,82,80.6,85.1,Physics,Research Scientist,Excellent,Eligible
Biology,2.7,44,5.6,7.1,56,34,31,60,0,36,43.4,34.52,Biology,Microbiologist,Needs Improvement,Shortage
Computer Science,4.8,80,5.9,5.4,55,72,52,0,59,51,57.8,58.35,Physics,Electrical Engineer,Average,Eligible
Biology,4.3,82,5.5,3.9,50,59,62,68,0,66,61.0,64.61,Biology,Biotechnologist,Average,Eligible
Computer Science,1.1,43,5.3,7.4,31,32,21,0,44,47,35.0,18.2,English,Lawyer,Needs Improvement,Shortage
Biology,1.9,42,5.3,5.1,45,36,46,42,0,48,43.4,31.63,English,Journalist,Needs Improvement,Shortage
Computer Science,2.8,41,5.6,7.4,59,31,30,0,41,47,41.6,30.82,Mathematics,Actuary,Needs Improvement,Shortage
Biology,9.8,99,7.8,1.9,89,93,85,92,0,95,90.8,100.0,English,Lawyer,Excellent,Eligible
Biology,5.9,82,7.3,3.7,76,72,76,80,0,67,74.2,77.74,Biology,Biotechnologist,Good,Eligible
Biology,8.6,100,8.4,1.2,87,88,94,93,0,90,90.4,100.0,Chemistry,Materials Scientist,Excellent,Eligible
Computer Science,4.5,77,7.1,4.5,54,74,60,0,51,60,59.8,62.99,Physics,Electrical Engineer,Average,Eligible
Computer Science,2.4,52,6.1,6.1,57,46,33,0,51,52,47.8,39.55,Mathematics,Statistician,Needs Improvement,Shortage
Computer Science,3.7,63,6.8,4.3,71,53,72,0,70,68,66.8,64.18,Chemistry,Chemical Engineer,Average,Shortage
Computer Science,3.4,68,6.0,6.6,59,30,43,0,55,42,45.8,38.7,Mathematics,Financial Analyst,Needs Improvement,Shortage
Computer Science,0.6,26,4.2,9.7,36,27,44,0,20,36,32.6,19.16,Chemistry,Materials Scientist,Needs Improvement,Shortage
Biology,5.7,90,7.5,2.9,75,81,78,77,0,84,79.0,85.82,English,Content Writer,Excellent,Eligible
Computer Science,6.1,88,7.3,3.3,70,71,69,0,87,84,76.2,80.89,Computer Science,Software Engineer,Good,Eligible
Computer Science,1.8,20,4.4,9.9,31,21,28,0,34,32,29.2,13.82,Computer Science,Machine Learning Engineer,Needs Improvement,Shortage
Computer Science,7.0,78,6.9,3.8,88,86,81,0,82,79,83.2,86.18,Mathematics,Actuary,Excellent,Eligible
Biology,3.8,79,7.3,3.7,72,66,69,63,0,79,69.8,70.39,English,Lawyer,Good,Eligible
Biology,3.7,74,6.2,4.1,72,72,48,57,0,67,63.2,61.11,Mathematics,Statistician,Average,Shortage
Computer Science,6.0,85,7.4,2.8,90,72,69,0,87,81,79.8,87.88,Mathematics,Data Scientist,Excellent,Eligible
Computer Science,6.8,83,7.3,3.4,76,87,80,0,91,71,81.0,90.34,Computer Science,Software Engineer,Excellent,Eligible
Biology,9.1,94,8.2,1.4,94,94,84,100,0,89,92.2,100.0,Biology,Microbiologist,Excellent,Eligible
Computer Science,2.9,50,5.8,6.4,51,50,40,0,56,61,51.6,41.07,English,Teacher,Needs Improvement,Shortage
Computer Science,3.2,61,6.3,3.9,61,54,72,0,62,70,63.8,57.54,Chemistry,Chemical Engineer,Average,Shortage
Computer Science,9.2,97,8.4,1.5,99,93,100,0,96,90,95.6,100.0,Chemistry,Chemical Engineer,Excellent,Eligible
Computer Science,3.1,69,7.0,3.3,62,52,60,0,70,62,61.2,58.12,Computer Science,Software Engineer,Average,Shortage
Biology,8.2,97,8.2,2.5,92,96,100,93,0,80,92.2,100.0,Chemistry,Materials Scientist,Excellent,Eligible
Biology,9.4,93,7.1,1.2,100,85,91,96,0,83,91.0,100.0,Mathematics,Statistician,Excellent,Eligible
Computer Science,0.6,48,4.1,9.7,40,22,31,0,22,33,29.6,11.73,Mathematics,Financial Analyst,Needs Improvement,Shortage
Biology,6.1,75,7.3,2.9,77,79,80,84,0,80,80.0,85.23,Biology,Microbiologist,Excellent,Eligible
Biology,1.3,36,5.3,9.5,40,29,41,15,0,32,31.4,15.8,Chemistry,Chemical Engineer,Needs Improvement,Shortage
Computer Science,0.8,31,5.3,9.3,32,34,28,0,15,33,28.4,10.47,Physics,Research Scientist,Needs Improvement,Shortage
Biology,1.7,67,5.2,6.6,59,36,38,30,0,44,41.4,32.84,Mathematics,Data Scientist,Needs Improvement,Shortage
Biology,6.4,78,7.5,2.1,83,81,73,76,0,87,80.0,86.14,English,Lawyer,Excellent,Eligible
Biology,0.7,38,5.3,8.0,20,43,38,40,0,46,37.4,20.39,English,Content Writer,Needs Improvement,Shortage
Computer Science,6.6,81,7.3,3.7,90,80,73,0,89,67,79.8,86.05,Mathematics,Actuary,Excellent,Eligible
Biology,9.4,91,7.1,1.6,99,89,82,96,0,95,92.2,100.0,Mathematics,Actuary,Excellent,Eligible
Computer Science,6.4,76,7.9,2.9,86,86,70,0,85,72,79.8,83.77,Mathematics,Data Scientist,Good,Eligible
Computer Science,6.4,75,7.7,3.2,76,73,70,0,89,65,74.6,77.86,Computer Science,Software Engineer,Good,Eligible
Biology,3.9,67,7.2,5.7,59,58,75,64,0,61,63.4,58.93,Chemistry,Materials Scientist,Average,Shortage
Biology,3.1,68,6.1,3.3,60,60,54,61,0,55,58.0,52.6,Biology,Doctor,Average,Shortage
Biology,6.1,82,6.8,2.3,77,82,82,85,0,77,80.6,84.63,Biology,Biomedical Researcher,Good,Eligible
Biology,4.2,76,6.9,3.5,57,55,49,53,0,59,54.6,56.99,English,Lawyer,Average,Eligible
Computer Science,3.6,70,6.5,5.2,51,70,71,0,51,66,61.8,54.1,Chemistry,Materials Scientist,Average,Shortage
Computer Science,3.8,63,6.2,5.9,71,72,58,0,56,65,64.4,58.82,Physics,Mechanical Engineer,Average,Shortage
Computer Science,3.5,66,5.6,4.0,53,66,63,0,60,72,62.8,56.13,English,Lawyer,Average,Shortage
Biology,3.7,69,6.6,4.9,75,54,56,54,0,61,60.0,54.94,Mathematics,Data Scientist,Average,Shortage
Biology,7.7,95,7.9,1.0,99,93,86,89,0,83,90.0,100.0,Mathematics,Financial Analyst,Excellent,Eligible
Biology,7.4,99,8.5,0.9,92,97,82,95,0,84,90.0,97.59,Physics,Research Scientist,Excellent,Eligible
Computer Science,5.2,81,7.2,2.3,82,70,79,0,89,76,79.2,81.45,Computer Science,Software Engineer,Good,Eligible
Biology,4.4,75,6.6,4.0,58,50,62,75,0,58,60.6,60.91,Biology,Biomedical Researcher,Average,Eligible
Computer Science,5.8,89,6.8,3.5,85,84,69,0,83,76,79.4,85.59,Mathematics,Statistician,Excellent,Eligible
Biology,5.2,80,7.4,2.0,78,75,84,77,0,69,76.6,83.61,Chemistry,Chemical Engineer,Good,Eligible
Biology,3.7,77,6.9,4.1,74,74,49,67,0,77,68.2,67.89,English,Teacher,Average,Eligible
Computer Science,7.0,92,7.8,1.7,91,100,99,0,97,95,96.4,100.0,Physics,Mechanical Engineer,Excellent,Eligible
Computer Science,9.9,96,7.9,2.0,93,90,93,0,93,93,92.4,100.0,Mathematics,Actuary,Excellent,Eligible
Biology,8.2,96,8.1,2.0,89,95,92,88,0,84,89.6,99.9,Physics,Mechanical Engineer,Excellent,Eligible
Biology,0.8,21,3.8,9.7,23,34,18,45,0,47,33.4,12.17,English,Journalist,Needs Improvement,Shortage
Computer Science,6.2,80,7.1,3.3,76,75,87,0,83,88,81.8,86.28,English,Journalist,Excellent,Eligible
Biology,9.7,95,7.2,2.0,89,91,96,96,0,88,92.0,100.0,Chemistry,Pharmacist,Excellent,Eligible
Biology,3.3,63,5.8,4.5,60,60,50,71,0,55,59.2,53.07,Biology,Biotechnologist,Average,Shortage
Biology,6.1,84,6.9,3.2,74,84,79,80,0,82,79.8,83.38,Physics,Aerospace Engineer,Good,Eligible
Biology,6.1,81,7.1,3.6,81,87,75,75,0,84,80.4,87.46,Physics,Aerospace Engineer,Excellent,Eligible
Biology,3.4,74,5.8,3.9,68,75,73,65,0,57,67.6,61.57,Physics,Research Scientist,Average,Shortage
Biology,7.4,93,7.4,2.2,100,91,86,89,0,81,89.4,100.0,Mathematics,Actuary,Excellent,Eligible
Biology,9.9,88,8.0,1.2,98,89,99,88,0,85,91.8,100.0,Chemistry,Chemical Engineer,Excellent,Eligible
Biology,0.6,26,4.1,7.2,30,17,24,23,0,29,24.6,11.19,Mathematics,Actuary,Needs Improvement,Shortage
Computer Science,6.1,81,7.3,2.9,73,74,79,0,77,79,76.4,81.68,Chemistry,Forensic Scientist,Good,Eligible
Computer Science,9.1,92,7.4,0.7,89,91,86,0,91,83,88.0,98.71,Physics,Research Scientist,Excellent,Eligible
Biology,4.4,64,6.6,3.3,67,61,70,59,0,71,65.6,63.61,English,Journalist,Average,Shortage
Computer Science,9.4,97,7.9,1.0,98,93,95,0,85,80,90.2,100.0,Mathematics,Statistician,Excellent,Eligible
Biology,8.9,90,8.3,1.5,86,89,98,97,0,87,91.4,100.0,Chemistry,Chemical Engineer,Excellent,Eligible
Computer Science,6.1,88,6.5,3.9,71,83,79,0,84,85,80.4,84.7,English,Lawyer,Good,Eligible
Computer Science,4.5,76,7.4,3.3,54,58,74,0,57,79,64.4,68.41,English,Content Writer,Average,Eligible
Biology,5.5,78,7.2,3.4,76,77,79,70,0,72,74.8,78.75,Chemistry,Forensic Scientist,Good,Eligible
Biology,4.6,65,7.0,4.9,53,74,48,70,0,50,59.0,58.96,Physics,Mechanical Engineer,Average,Shortage
Biology,1.8,44,4.9,7.1,43,39,39,54,0,58,46.6,31.8,English,Lawyer,Needs Improvement,Shortage
Computer Science,0.9,32,4.8,7.0,43,18,42,0,28,50,36.2,21.87,English,Content Writer,Needs Improvement,Shortage
Computer Science,3.0,66,6.5,5.2,75,61,66,0,59,76,67.4,61.81,English,Teacher,Average,Shortage
Biology,6.3,82,7.8,2.3,87,83,70,81,0,87,81.6,88.32,Mathematics,Actuary,Excellent,Eligible
