study_hours,attendance,sleep_hours,internet_usage,number_of_subjects,average_subject_score,highest_subject_score,lowest_subject_score,score_consistency,previous_overall_score,exam_score,performance_level,attendance_status
5.0,75,7.3,3.9,7,78.43,91.0,72.0,6.34,74.58,78.98,Good,Eligible
4.7,69,6.7,5.6,7,60.14,77.0,51.0,8.11,65.59,59.64,Average,Shortage
2.2,67,4.9,5.1,8,45.62,58.0,32.0,10.57,38.59,32.72,Needs Improvement,Shortage
8.0,93,8.2,2.2,5,93.4,100.0,85.0,6.22,90.8,100.0,Excellent,Eligible
5.2,77,7.2,2.4,6,79.17,91.0,72.0,7.75,69.18,79.19,Good,Eligible
3.4,72,6.2,4.3,3,69.0,77.0,57.0,8.64,60.91,61.15,Average,Shortage
6.1,86,7.2,3.2,6,78.83,87.0,74.0,4.52,88.16,89.49,Excellent,Eligible
6.4,75,7.3,3.5,7,78.14,89.0,70.0,6.69,68.91,84.45,Good,Eligible
3.4,67,5.8,4.4,5,65.4,72.0,50.0,8.19,56.23,57.12,Average,Shortage
3.1,60,7.1,5.5,3,64.67,74.0,56.0,7.36,58.12,59.25,Average,Shortage
3.8,71,6.2,3.1,3,66.67,73.0,63.0,4.5,74.85,64.09,Average,Shortage
7.7,98,7.6,1.9,3,90.67,97.0,87.0,4.5,99.32,100.0,Excellent,Eligible
9.0,91,7.7,2.5,4,92.25,99.0,87.0,4.97,100.0,100.0,Excellent,Eligible
4.3,62,6.4,4.4,6,69.33,77.0,56.0,7.41,65.75,65.9,Average,Shortage
6.5,87,7.9,3.7,4,74.75,81.0,70.0,4.87,79.53,87.46,Excellent,Eligible
3.4,79,6.7,5.9,4,64.0,70.0,53.0,6.6,70.09,66.47,Average,Eligible
1.8,58,4.6,6.2,7,41.0,53.0,31.0,8.43,37.87,24.79,Needs Improvement,Shortage
5.6,78,6.8,2.3,3,77.67,83.0,75.0,3.77,70.74,77.25,Good,Eligible
5.0,79,7.2,4.9,5,62.8,76.0,53.0,8.03,55.64,65.7,Average,Eligible
3.8,72,6.0,5.3,3,72.33,77.0,69.0,3.4,74.86,67.39,Average,Shortage
6.7,88,7.2,2.5,4,87.75,92.0,84.0,3.34,77.77,91.61,Excellent,Eligible
9.2,94,8.1,1.1,6,93.83,100.0,85.0,5.21,95.97,100.0,Excellent,Eligible
2.8,59,6.0,6.0,4,55.75,62.0,52.0,3.77,54.08,42.5,Needs Improvement,Shortage
3.3,52,5.2,6.8,4,52.75,58.0,40.0,7.46,59.62,44.69,Needs Improvement,Shortage
6.3,79,7.3,3.0,8,82.12,92.0,72.0,6.83,90.98,89.83,Excellent,Eligible
5.6,82,7.4,3.8,6,80.67,92.0,74.0,6.82,78.1,84.15,Good,Eligible
9.9,97,7.9,1.6,3,88.33,94.0,85.0,4.03,85.03,98.97,Excellent,Eligible
3.9,65,5.5,3.3,4,66.25,75.0,56.0,6.8,68.43,62.67,Average,Shortage
8.9,98,7.8,0.7,6,93.5,98.0,90.0,2.81,96.7,100.0,Excellent,Eligible
7.5,100,7.9,1.3,4,92.25,97.0,87.0,3.96,88.27,100.0,Excellent,Eligible
4.9,62,5.6,4.7,6,63.33,77.0,50.0,8.96,70.25,63.12,Average,Shortage
5.2,77,7.2,2.6,6,77.67,91.0,71.0,6.57,77.96,78.4,Good,Eligible
8.7,88,8.3,1.1,7,90.86,98.0,86.0,3.4,84.76,98.8,Excellent,Eligible
4.2,80,5.7,4.3,7,59.14,70.0,51.0,5.96,68.18,64.1,Average,Eligible
4.7,75,5.9,4.9,6,64.0,76.0,55.0,6.43,73.99,66.62,Average,Eligible
8.7,90,8.4,2.2,6,95.17,100.0,91.0,3.62,90.54,100.0,Excellent,Eligible
4.2,82,6.6,5.5,5,65.6,76.0,57.0,6.71,66.43,69.37,Average,Eligible
4.0,69,7.0,4.0,3,65.67,67.0,64.0,1.25,56.75,62.3,Average,Shortage
6.0,86,7.9,3.9,5,80.8,91.0,72.0,6.55,87.4,88.14,Excellent,Eligible
5.5,76,7.7,3.8,5,80.2,90.0,73.0,6.08,82.38,83.21,Good,Eligible
5.7,79,7.8,3.8,7,79.29,92.0,71.0,7.78,71.7,80.44,Good,Eligible
3.9,71,7.0,5.6,4,64.75,75.0,59.0,6.18,71.08,64.47,Average,Shortage
4.3,61,5.5,5.7,7,62.71,72.0,55.0,4.98,66.49,62.46,Average,Shortage
6.0,84,7.8,3.4,5,81.4,89.0,73.0,6.59,89.06,88.66,Excellent,Eligible
6.6,89,6.6,2.8,8,80.5,87.0,71.0,5.22,72.79,80.57,Good,Eligible
7.2,91,8.1,1.5,4,91.75,97.0,87.0,3.7,100.0,100.0,Excellent,Eligible
7.0,79,6.6,2.1,3,81.33,92.0,74.0,7.72,76.04,81.96,Good,Eligible
6.1,87,7.7,2.7,8,82.12,91.0,70.0,7.13,90.03,88.92,Excellent,Eligible
1.3,43,4.2,7.5,5,26.0,44.0,15.0,11.75,35.64,11.05,Needs Improvement,Shortage
4.5,77,6.3,3.6,3,65.33,71.0,57.0,6.02,67.84,67.6,Average,Eligible
3.4,68,5.0,6.4,3,49.33,65.0,34.0,12.66,58.89,48.04,Needs Improvement,Shortage
6.7,82,7.2,3.1,6,80.0,89.0,73.0,5.35,83.46,85.46,Excellent,Eligible
2.4,54,6.1,7.3,7,45.29,56.0,30.0,9.44,41.24,36.59,Needs Improvement,Shortage
7.4,100,8.3,2.5,4,97.0,99.0,94.0,2.12,90.23,100.0,Excellent,Eligible
8.0,92,8.3,0.7,3,97.67,100.0,93.0,3.3,100.0,100.0,Excellent,Eligible
3.7,64,7.0,4.7,8,56.62,72.0,50.0,7.14,65.82,52.95,Average,Shortage
5.2,78,7.6,2.2,8,80.62,91.0,70.0,7.18,73.28,81.45,Good,Eligible
5.1,82,8.0,3.6,8,81.0,85.0,75.0,3.67,87.32,85.49,Excellent,Eligible
7.4,96,7.2,2.2,4,94.25,99.0,90.0,3.49,100.0,100.0,Excellent,Eligible
3.2,70,6.4,6.0,5,38.6,58.0,31.0,9.83,43.01,35.31,Needs Improvement,Shortage
3.8,70,6.0,5.1,6,65.17,71.0,57.0,5.55,61.53,57.08,Average,Shortage
7.3,99,7.8,2.2,7,92.29,99.0,88.0,4.65,96.97,100.0,Excellent,Eligible
7.4,97,8.4,1.3,4,92.5,98.0,89.0,3.5,96.79,100.0,Excellent,Eligible
9.5,100,7.8,2.3,7,95.86,100.0,91.0,3.36,94.33,100.0,Excellent,Eligible
7.9,88,8.2,2.4,6,91.67,100.0,86.0,4.35,86.21,93.69,Excellent,Eligible
5.7,89,7.3,3.2,6,82.83,91.0,76.0,4.74,82.3,91.51,Excellent,Eligible
3.3,49,5.5,5.9,7,46.14,62.0,39.0,8.42,42.41,32.53,Needs Improvement,Shortage
9.3,91,8.1,1.5,5,93.4,95.0,91.0,1.36,100.0,100.0,Excellent,Eligible
8.3,98,8.2,1.6,6,94.67,100.0,89.0,4.31,92.71,100.0,Excellent,Eligible
3.5,65,6.3,4.0,3,68.0,76.0,53.0,10.61,66.46,63.61,Average,Shortage
5.0,79,7.4,6.0,3,68.0,71.0,63.0,3.56,69.59,73.17,Good,Eligible
4.3,73,7.2,3.6,6,63.33,76.0,57.0,6.32,56.42,60.12,Average,Shortage
8.5,91,7.4,0.8,5,92.6,99.0,87.0,4.32,100.0,100.0,Excellent,Eligible
1.6,47,5.1,7.4,7,44.29,64.0,33.0,10.75,38.91,29.87,Needs Improvement,Shortage
3.8,60,6.3,4.1,7,61.0,72.0,50.0,7.31,62.27,55.79,Average,Shortage
2.2,64,4.9,5.7,6,47.5,55.0,31.0,8.04,44.64,40.55,Needs Improvement,Shortage
4.2,62,6.6,3.3,3,60.67,66.0,51.0,6.85,67.62,61.18,Average,Shortage
9.5,96,8.1,0.7,8,91.25,100.0,88.0,3.6,89.26,100.0,Excellent,Eligible
6.9,83,7.6,3.0,8,81.38,90.0,74.0,5.05,83.94,86.04,Excellent,Eligible
4.3,70,7.4,3.7,3,67.67,77.0,50.0,12.5,72.34,67.98,Average,Shortage
1.6,46,5.4,6.7,7,50.14,65.0,36.0,9.67,47.75,34.97,Needs Improvement,Shortage
3.6,75,7.1,4.6,5,61.4,71.0,52.0,7.06,69.31,65.46,Average,Eligible
5.0,75,5.7,4.2,5,61.6,76.0,52.0,10.59,58.57,63.03,Average,Eligible
3.2,69,5.7,4.4,5,70.4,76.0,61.0,6.22,71.78,67.2,Average,Shortage
4.3,77,6.0,5.7,8,66.62,78.0,53.0,8.54,66.26,66.95,Average,Eligible
5.3,85,7.9,2.3,3,73.0,75.0,70.0,2.16,73.83,78.33,Good,Eligible
9.8,90,8.5,1.6,8,88.0,94.0,85.0,2.96,90.25,100.0,Excellent,Eligible
1.5,38,3.8,9.1,8,27.88,38.0,20.0,5.13,21.17,7.07,Needs Improvement,Shortage
9.4,90,7.7,2.2,8,92.62,99.0,85.0,5.02,99.73,100.0,Excellent,Eligible
3.6,64,5.8,3.9,8,64.88,77.0,50.0,10.35,55.89,58.65,Average,Shortage
5.9,82,7.2,2.2,7,79.57,90.0,70.0,6.43,74.48,82.23,Good,Eligible
6.3,76,7.2,2.4,7,82.57,92.0,73.0,6.95,85.46,90.13,Excellent,Eligible
6.7,76,7.1,2.8,4,75.75,80.0,71.0,3.49,80.8,83.43,Good,Eligible
2.9,67,5.0,5.7,6,52.5,65.0,35.0,11.5,61.25,51.26,Average,Shortage
3.7,78,5.8,5.6,6,64.83,73.0,56.0,6.15,56.35,60.42,Average,Eligible
4.6,75,5.8,4.1,8,65.25,74.0,50.0,7.9,68.32,70.72,Good,Eligible
9.1,98,8.5,2.4,4,88.75,92.0,86.0,2.77,79.93,96.54,Excellent,Eligible
1.0,39,4.4,7.2,4,23.0,30.0,17.0,4.64,25.35,7.24,Needs Improvement,Shortage
3.7,72,6.6,4.1,8,58.75,72.0,51.0,6.63,58.51,50.7,Average,Shortage
2.4,41,5.3,6.6,4,46.5,63.0,40.0,9.55,41.7,37.14,Needs Improvement,Shortage
5.2,88,8.0,2.3,3,84.33,89.0,81.0,3.4,85.59,92.32,Excellent,Eligible
1.5,37,4.9,7.7,3,32.67,42.0,18.0,10.5,33.03,14.53,Needs Improvement,Shortage
3.8,65,5.5,3.1,8,65.0,77.0,52.0,6.69,57.14,58.22,Average,Shortage
9.3,90,7.5,1.9,5,88.2,91.0,85.0,2.14,89.22,100.0,Excellent,Eligible
4.4,66,7.4,5.8,4,63.75,74.0,59.0,5.97,65.64,63.56,Average,Shortage
7.0,93,7.2,1.5,8,93.5,99.0,86.0,4.44,99.95,100.0,Excellent,Eligible
4.6,60,6.3,5.4,8,62.0,73.0,51.0,8.03,53.28,54.84,Average,Shortage
3.4,74,6.3,5.1,4,66.5,78.0,55.0,10.55,70.27,59.98,Average,Shortage
9.5,93,7.1,1.4,7,91.57,100.0,85.0,4.69,87.15,100.0,Excellent,Eligible
5.9,88,7.1,2.6,7,81.29,87.0,77.0,3.33,84.65,85.26,Excellent,Eligible
9.7,100,8.4,0.9,8,92.5,99.0,86.0,5.22,86.57,100.0,Excellent,Eligible
2.6,60,5.7,5.6,3,55.67,65.0,48.0,7.04,59.35,52.09,Average,Shortage
6.4,82,6.5,3.8,8,85.0,92.0,77.0,4.87,89.61,90.61,Excellent,Eligible
1.9,64,5.0,7.4,7,46.86,55.0,32.0,8.04,53.04,42.53,Needs Improvement,Shortage
0.7,46,4.8,8.3,3,33.67,44.0,20.0,10.08,27.52,14.01,Needs Improvement,Shortage
2.4,53,4.9,7.5,8,51.12,64.0,35.0,8.7,42.02,33.17,Needs Improvement,Shortage
8.5,94,8.3,0.7,8,91.75,97.0,85.0,4.15,100.0,100.0,Excellent,Eligible
3.6,70,6.8,5.2,8,62.5,78.0,57.0,6.58,62.81,57.12,Average,Shortage
8.6,95,7.1,0.5,4,89.0,96.0,85.0,4.53,82.64,97.92,Excellent,Eligible
3.9,67,6.1,4.1,4,68.75,73.0,63.0,3.77,62.22,62.88,Average,Shortage
4.4,78,5.6,5.1,4,63.25,69.0,58.0,3.9,61.05,66.31,Average,Eligible
9.1,99,8.3,1.4,6,93.83,100.0,86.0,5.37,100.0,100.0,Excellent,Eligible
8.9,100,8.0,2.0,5,93.4,97.0,85.0,4.45,88.13,100.0,Excellent,Eligible
1.6,50,5.9,6.4,5,48.2,57.0,33.0,8.66,42.21,32.14,Needs Improvement,Shortage
4.1,60,6.1,3.9,3,64.33,69.0,59.0,4.11,74.06,65.47,Average,Shortage
5.2,77,7.0,2.0,3,83.67,90.0,76.0,5.79,92.95,93.22,Excellent,Eligible
1.9,65,6.3,5.1,8,48.5,65.0,32.0,11.8,44.93,39.77,Needs Improvement,Shortage
0.7,29,4.8,8.1,6,27.83,44.0,15.0,9.56,37.15,10.63,Needs Improvement,Shortage
3.5,64,5.8,4.9,7,66.14,76.0,56.0,5.82,72.15,62.28,Average,Shortage
8.7,88,8.4,1.9,3,96.67,100.0,92.0,3.4,97.13,100.0,Excellent,Eligible
2.5,57,5.5,5.6,8,49.0,62.0,32.0,10.21,57.19,40.05,Needs Improvement,Shortage
3.4,75,6.3,3.0,8,66.62,76.0,53.0,7.14,58.4,62.86,Average,Eligible
3.8,81,5.6,5.9,7,63.0,71.0,54.0,5.55,60.72,62.36,Average,Eligible
3.0,62,6.3,3.6,5,57.6,75.0,50.0,8.96,67.34,52.52,Average,Shortage
1.9,61,5.9,7.8,7,47.43,61.0,34.0,7.76,40.1,37.26,Needs Improvement,Shortage
7.9,91,7.8,1.2,4,94.5,99.0,88.0,4.39,98.43,100.0,Excellent,Eligible
4.0,80,5.7,4.0,4,68.0,78.0,55.0,8.34,58.62,68.45,Average,Eligible
8.4,97,7.2,1.0,3,94.0,99.0,85.0,6.38,100.0,100.0,Excellent,Eligible
5.6,87,7.5,2.4,6,80.5,89.0,71.0,6.34,80.1,86.15,Excellent,Eligible
5.4,83,7.2,2.8,6,79.5,86.0,72.0,5.06,83.96,86.28,Excellent,Eligible
4.4,61,7.2,4.9,4,68.75,76.0,61.0,6.02,60.22,67.89,Average,Shortage
1.8,61,4.5,6.2,5,44.4,60.0,37.0,8.16,43.22,34.95,Needs Improvement,Shortage
5.5,79,7.0,2.8,6,82.83,92.0,70.0,7.56,77.03,81.82,Good,Eligible
9.5,94,8.2,2.3,6,93.83,99.0,86.0,4.3,85.62,98.53,Excellent,Eligible
1.7,47,4.8,9.4,7,27.57,44.0,15.0,9.6,33.86,11.75,Needs Improvement,Shortage
3.0,60,6.5,5.0,8,64.5,78.0,50.0,9.35,66.48,57.13,Average,Shortage
5.9,85,7.5,4.0,4,81.75,92.0,71.0,7.56,83.99,90.01,Excellent,Eligible
4.8,79,6.4,3.9,3,66.33,78.0,57.0,8.73,61.12,69.09,Average,Eligible
3.8,67,7.0,3.9,3,65.33,75.0,51.0,10.34,64.01,62.07,Average,Shortage
3.1,54,5.9,7.6,3,49.33,62.0,35.0,11.09,53.47,38.58,Needs Improvement,Shortage
7.9,97,7.1,1.5,4,93.75,99.0,89.0,3.96,89.11,100.0,Excellent,Eligible
8.7,100,7.7,0.9,8,93.25,99.0,86.0,4.74,97.63,100.0,Excellent,Eligible
9.3,100,8.2,1.4,8,92.25,97.0,86.0,4.24,83.04,100.0,Excellent,Eligible
5.4,77,6.7,3.0,6,80.67,89.0,70.0,6.72,72.99,82.56,Good,Eligible
9.6,97,7.7,1.0,4,90.75,97.0,88.0,3.7,92.94,100.0,Excellent,Eligible
1.9,51,4.9,6.9,6,43.5,50.0,38.0,4.92,45.63,28.06,Needs Improvement,Shortage
4.7,80,5.8,4.9,6,65.33,74.0,55.0,6.92,74.26,71.46,Good,Eligible
5.6,83,7.7,3.1,7,81.29,89.0,74.0,5.7,72.29,79.75,Good,Eligible
8.1,90,8.5,0.9,8,94.25,100.0,85.0,5.19,98.3,100.0,Excellent,Eligible
7.5,89,8.0,1.5,8,94.0,100.0,88.0,3.91,100.0,100.0,Excellent,Eligible
3.1,62,4.5,5.4,4,55.25,60.0,48.0,4.55,55.5,47.04,Needs Improvement,Shortage
3.1,71,5.7,3.2,7,64.0,75.0,52.0,7.5,69.7,60.21,Average,Shortage
7.5,91,7.2,1.9,7,91.14,99.0,85.0,5.22,99.51,100.0,Excellent,Eligible
3.2,72,7.4,5.3,5,68.0,78.0,51.0,10.22,75.3,67.08,Average,Shortage
1.4,43,5.3,8.9,5,32.0,42.0,19.0,9.53,27.34,14.8,Needs Improvement,Shortage
3.0,41,5.7,5.2,6,41.0,58.0,34.0,8.0,46.87,31.09,Needs Improvement,Shortage
1.5,44,4.7,9.1,5,34.0,44.0,28.0,6.2,42.65,15.69,Needs Improvement,Shortage
5.9,82,7.2,3.4,8,81.12,90.0,70.0,6.92,78.41,82.89,Good,Eligible
7.7,96,7.8,2.0,4,95.75,98.0,92.0,2.28,100.0,100.0,Excellent,Eligible
1.8,68,4.6,5.8,6,42.0,52.0,33.0,7.21,39.12,26.37,Needs Improvement,Shortage
3.0,80,6.7,5.0,3,62.67,76.0,55.0,9.46,70.37,62.41,Average,Eligible
8.4,99,7.9,1.0,4,93.75,100.0,86.0,6.34,92.22,100.0,Excellent,Eligible
3.6,74,6.7,5.4,5,62.4,72.0,51.0,9.0,66.3,59.6,Average,Shortage
1.8,29,5.4,7.0,4,28.5,44.0,18.0,9.94,35.59,16.36,Needs Improvement,Shortage
1.5,23,4.4,7.6,8,32.25,45.0,15.0,10.0,25.82,16.83,Needs Improvement,Shortage
1.9,27,3.6,8.7,4,33.25,43.0,19.0,8.79,26.35,13.53,Needs Improvement,Shortage
3.6,82,7.5,4.2,8,66.88,78.0,50.0,8.85,57.02,65.2,Average,Eligible
3.2,76,5.9,3.4,8,62.75,78.0,51.0,9.69,71.82,62.68,Average,Eligible
6.5,89,7.7,2.3,3,78.67,88.0,72.0,6.8,82.62,87.2,Excellent,Eligible
6.5,80,7.8,2.2,8,84.62,92.0,71.0,6.96,85.19,91.84,Excellent,Eligible
3.4,82,5.5,4.9,8,69.5,78.0,55.0,7.73,61.76,66.03,Average,Eligible
3.7,63,6.6,5.9,7,63.0,73.0,52.0,7.21,55.47,55.85,Average,Shortage
9.8,96,7.5,1.1,3,90.67,93.0,86.0,3.3,83.11,100.0,Excellent,Eligible
3.4,61,6.4,4.2,4,55.0,60.0,51.0,3.67,60.45,51.83,Average,Shortage
5.3,78,7.4,2.0,5,81.6,92.0,74.0,8.11,81.79,87.62,Excellent,Eligible
2.5,51,5.8,5.5,8,53.38,62.0,44.0,6.67,61.85,48.99,Needs Improvement,Shortage
6.3,76,6.5,3.4,4,81.75,91.0,76.0,5.76,76.44,84.47,Good,Eligible
8.7,92,7.7,1.0,4,90.25,96.0,85.0,4.15,89.9,100.0,Excellent,Eligible
2.8,58,5.1,6.7,7,43.43,65.0,33.0,12.22,43.42,33.04,Needs Improvement,Shortage
4.1,64,6.7,5.6,7,59.0,73.0,52.0,6.85,56.46,53.53,Average,Shortage
6.4,86,7.6,3.1,5,79.6,92.0,71.0,7.84,70.73,82.84,Good,Eligible
9.8,92,7.2,2.4,6,95.0,100.0,91.0,3.92,94.8,100.0,Excellent,Eligible
3.0,61,6.0,5.7,8,65.12,77.0,50.0,8.12,69.88,63.27,Average,Shortage
0.6,28,3.8,8.1,4,23.0,35.0,15.0,7.87,19.25,6.89,Needs Improvement,Shortage
3.3,42,5.2,5.6,7,54.14,63.0,43.0,7.12,45.52,41.18,Needs Improvement,Shortage
2.7,52,4.7,7.3,4,50.75,56.0,44.0,5.36,42.49,35.34,Needs Improvement,Shortage
6.9,78,7.8,2.9,4,80.0,91.0,74.0,6.52,76.15,87.35,Excellent,Eligible
4.1,78,5.9,4.1,4,60.0,77.0,52.0,10.07,50.2,60.42,Average,Eligible
4.9,63,6.0,5.3,6,67.83,78.0,59.0,7.38,65.77,62.34,Average,Shortage
6.7,79,7.4,3.8,6,79.0,84.0,75.0,3.21,75.99,84.69,Good,Eligible
4.4,62,6.6,3.2,7,62.0,68.0,50.0,5.61,52.23,55.6,Average,Shortage
5.0,77,7.3,2.6,3,85.67,92.0,77.0,6.34,79.34,90.3,Excellent,Eligible
3.6,75,7.4,5.8,5,63.4,74.0,54.0,7.17,67.63,65.63,Average,Eligible
8.4,92,7.7,1.4,8,91.62,98.0,85.0,4.15,92.17,99.69,Excellent,Eligible
5.2,89,8.0,3.2,6,80.5,92.0,70.0,8.2,75.46,86.76,Excellent,Eligible
7.8,88,8.4,0.8,4,89.25,91.0,88.0,1.09,85.44,93.1,Excellent,Eligible
1.8,44,5.5,8.2,4,26.25,33.0,23.0,3.96,18.86,9.24,Needs Improvement,Shortage
3.1,75,7.0,6.0,6,70.17,77.0,65.0,3.98,69.17,69.55,Average,Eligible
6.9,90,7.4,2.4,7,80.57,89.0,74.0,4.37,90.05,91.91,Excellent,Eligible
9.3,98,7.0,2.2,3,98.67,99.0,98.0,0.47,94.74,100.0,Excellent,Eligible
4.1,75,7.5,3.7,7,62.57,76.0,50.0,9.16,70.72,69.33,Average,Eligible
6.2,83,7.1,2.2,7,80.14,92.0,71.0,6.9,73.11,85.13,Excellent,Eligible
3.8,63,7.1,4.0,3,65.0,70.0,56.0,6.38,59.14,56.32,Average,Shortage
2.8,68,6.0,5.5,4,52.5,63.0,42.0,8.08,59.2,45.39,Needs Improvement,Shortage
4.5,64,6.0,3.7,6,63.33,72.0,59.0,4.23,54.84,59.7,Average,Shortage
9.9,91,7.9,2.1,7,92.43,100.0,85.0,5.58,85.73,100.0,Excellent,Eligible
5.8,89,6.9,3.1,8,80.25,89.0,71.0,6.63,86.09,86.87,Excellent,Eligible
5.7,85,7.7,2.2,4,74.25,79.0,70.0,3.83,64.29,76.26,Good,Eligible
1.6,47,5.2,6.4,6,43.83,58.0,30.0,10.19,45.91,34.88,Needs Improvement,Shortage
9.6,100,7.7,1.0,3,94.67,97.0,92.0,2.05,96.45,100.0,Excellent,Eligible
2.0,46,6.4,7.7,8,48.62,64.0,31.0,10.85,39.59,35.47,Needs Improvement,Shortage
0.9,31,3.6,7.9,8,29.75,45.0,15.0,10.72,28.38,12.38,Needs Improvement,Shortage
3.2,60,6.1,5.9,6,43.17,65.0,32.0,11.14,33.73,35.59,Needs Improvement,Shortage
6.7,78,7.7,2.9,3,81.67,88.0,77.0,4.64,72.82,84.79,Good,Eligible
6.9,83,7.1,2.8,8,79.0,88.0,71.0,5.98,76.63,84.41,Good,Eligible
3.3,61,5.9,3.9,6,64.67,76.0,51.0,9.66,60.07,59.59,Average,Shortage
3.0,70,6.4,4.8,7,63.86,78.0,51.0,9.58,57.88,55.48,Average,Shortage
9.9,89,8.0,2.1,4,93.25,100.0,88.0,4.97,93.49,100.0,Excellent,Eligible
2.1,41,5.3,7.2,8,47.25,63.0,31.0,12.27,41.94,34.86,Needs Improvement,Shortage
7.4,92,7.3,0.7,6,89.33,97.0,85.0,4.64,87.08,100.0,Excellent,Eligible
8.8,89,7.2,0.9,8,92.88,97.0,85.0,3.82,93.75,100.0,Excellent,Eligible
8.7,89,7.8,1.3,4,92.75,100.0,85.0,5.72,83.01,100.0,Excellent,Eligible
3.4,54,5.5,6.1,8,42.88,62.0,30.0,11.47,43.66,30.48,Needs Improvement,Shortage
2.8,63,5.6,5.9,6,50.83,65.0,36.0,10.82,54.1,43.18,Needs Improvement,Shortage
6.8,87,7.6,2.4,6,83.5,90.0,72.0,6.29,74.95,88.83,Excellent,Eligible
3.8,70,5.6,4.7,5,60.8,76.0,54.0,8.23,56.26,53.18,Average,Shortage
5.2,85,7.1,2.3,8,81.62,90.0,73.0,4.79,81.96,86.63,Excellent,Eligible
8.9,100,8.1,2.0,4,94.25,97.0,91.0,2.17,92.12,100.0,Excellent,Eligible
5.5,89,6.5,2.1,4,82.25,91.0,72.0,7.63,82.01,85.48,Excellent,Eligible
4.3,80,6.7,3.4,6,71.17,78.0,63.0,5.27,74.77,76.36,Good,Eligible
3.7,62,5.9,6.0,6,62.33,77.0,53.0,8.4,65.28,58.33,Average,Shortage
9.1,93,8.3,2.0,4,90.75,96.0,88.0,3.11,98.1,100.0,Excellent,Eligible
4.5,68,7.4,3.8,4,61.0,71.0,51.0,7.91,59.84,60.99,Average,Shortage
6.9,86,7.9,3.3,3,82.0,85.0,78.0,2.94,72.19,87.83,Excellent,Eligible
3.1,75,6.4,4.1,7,63.71,73.0,51.0,7.59,56.62,60.96,Average,Eligible
2.2,58,5.1,7.0,5,50.2,62.0,35.0,9.33,42.11,39.47,Needs Improvement,Shortage
1.7,46,3.7,7.3,8,27.62,42.0,15.0,9.04,27.29,12.63,Needs Improvement,Shortage
4.9,61,6.2,4.2,4,72.25,75.0,71.0,1.64,65.81,67.26,Average,Shortage
3.5,61,5.2,7.2,7,48.86,65.0,31.0,13.12,39.55,39.03,Needs Improvement,Shortage
7.0,93,7.7,0.8,8,92.25,99.0,87.0,4.41,98.13,100.0,Excellent,Eligible
4.6,60,6.3,3.1,5,63.2,77.0,55.0,8.49,70.23,62.11,Average,Shortage
6.3,80,6.8,2.0,5,74.6,80.0,72.0,2.94,75.61,81.35,Good,Eligible
7.7,100,7.3,2.2,7,93.71,100.0,85.0,5.8,100.0,100.0,Excellent,Eligible
1.8,44,5.4,9.7,7,31.43,45.0,17.0,10.78,28.65,13.89,Needs Improvement,Shortage
3.8,80,6.9,4.6,7,61.57,72.0,51.0,6.5,70.52,65.38,Average,Eligible
9.4,94,7.9,1.6,8,90.62,96.0,86.0,3.94,85.46,98.99,Excellent,Eligible
3.2,79,6.3,5.2,6,67.5,76.0,58.0,5.65,76.19,71.84,Good,Eligible
8.6,89,7.3,2.4,4,95.0,98.0,91.0,2.74,97.48,100.0,Excellent,Eligible
7.0,83,8.0,3.1,3,83.33,86.0,81.0,2.05,92.43,89.64,Excellent,Eligible
6.7,80,7.0,3.4,8,81.38,90.0,74.0,5.85,81.2,87.29,Excellent,Eligible
8.2,91,7.0,0.9,8,92.25,98.0,85.0,4.47,91.18,100.0,Excellent,Eligible
3.4,65,6.6,3.7,4,60.75,75.0,54.0,8.32,57.14,53.14,Average,Shortage
6.7,90,7.7,3.2,8,77.12,82.0,71.0,4.46,74.38,84.31,Good,Eligible
5.7,78,8.0,2.5,7,82.0,89.0,70.0,6.97,72.3,81.57,Good,Eligible
1.5,25,3.7,8.1,3,30.33,38.0,19.0,8.18,32.06,14.13,Needs Improvement,Shortage
4.6,69,6.1,4.6,5,61.6,74.0,50.0,9.52,58.43,56.37,Average,Shortage
4.0,74,6.2,5.3,3,64.0,69.0,59.0,4.08,62.86,63.71,Average,Shortage
6.7,86,7.7,3.3,8,81.5,89.0,74.0,6.26,80.05,89.4,Excellent,Eligible
3.6,70,7.1,5.3,7,71.14,78.0,54.0,8.04,75.11,69.69,Average,Shortage
3.0,52,5.3,6.3,5,44.6,63.0,33.0,11.22,52.93,36.42,Needs Improvement,Shortage
1.1,25,4.1,8.8,7,34.71,44.0,26.0,6.73,32.96,16.91,Needs Improvement,Shortage
3.9,78,6.3,4.7,4,69.75,74.0,67.0,2.68,66.36,66.63,Average,Eligible
5.1,76,6.9,3.4,5,83.0,88.0,73.0,5.4,75.69,81.62,Good,Eligible
4.2,68,6.5,3.5,5,62.4,73.0,50.0,8.82,55.38,56.56,Average,Shortage
3.7,65,6.5,3.2,6,59.33,73.0,53.0,6.85,49.46,51.81,Average,Shortage
5.6,87,6.8,2.7,3,76.67,88.0,70.0,8.06,70.86,75.79,Good,Eligible
5.4,81,7.7,3.8,8,77.5,92.0,70.0,7.25,76.89,81.42,Good,Eligible
6.6,76,7.8,2.0,5,83.6,88.0,79.0,3.88,90.32,91.91,Excellent,Eligible
5.2,90,7.4,2.8,6,84.83,92.0,82.0,3.34,88.63,92.11,Excellent,Eligible
